timestamp,open,high,low,close,volume
2024-01-01,42283.58,45879.63,40750.0,43929.02,310487.48622
2024-01-08,43929.01,48969.48,41500.0,41732.35,470798.80434
2024-01-15,41732.35,43578.01,40280.0,41580.33,238486.27274
2024-01-22,41580.32,42842.68,38555.0,42031.06,274603.16207
2024-01-29,42031.05,43882.36,41804.88,42582.88,203036.61925
2024-02-05,42582.88,48592.66,42258.1,48299.99,262240.48357
2024-02-12,48300.0,52816.62,47710.01,52137.67,310862.3017
2024-02-19,52137.68,52985.0,50521.0,51728.85,223366.16186
2024-02-26,51728.85,64000.0,50901.44,63113.97,417907.83383
2024-03-04,63113.97,69990.0,59005.0,68955.88,481870.181782
2024-03-11,68955.88,73777.0,64533.0,68393.48,477496.91752
2024-03-18,68393.47,68956.0,60775.0,67209.99,409762.74414
2024-03-25,67210.0,71769.54,66385.06,71280.01,235409.95755
2024-04-01,71280.0,71288.23,64493.07,69360.39,274227.11488
2024-04-08,69360.38,72797.99,60660.57,65661.84,348008.31904
2024-04-15,65661.85,66867.07,59600.01,64941.15,312265.13225
2024-04-22,64941.15,67232.35,62391.24,63118.62,183902.50753
2024-04-29,63118.62,64734.0,56552.82,64012.0,298372.0172
2024-05-06,64012.0,65500.0,60187.12,61483.99,179712.75232
2024-05-13,61484.0,67700.0,60749.21,66274.01,195247.04901
2024-05-20,66274.0,71979.0,66060.31,68507.67,220708.83749
2024-05-27,68507.67,70687.56,66670.0,67765.63,158352.25614
2024-06-03,67765.62,71997.02,67612.48,69648.14,165061.19141
2024-06-10,69648.15,70195.94,65078.0,66676.87,174066.07718
2024-06-17,66676.86,67298.81,63178.32,63210.01,155589.33133
2024-06-24,63210.01,63369.8,58402.0,62772.01,177837.60164
2024-07-01,62772.01,63861.76,53485.93,55857.81,251967.61048
2024-07-08,55857.81,61420.69,54260.16,60797.91,190723.74928
2024-07-15,60797.91,68366.66,60632.3,68165.34,205198.52303
2024-07-22,68165.35,69399.99,63456.7,68249.88,177889.46168
2024-07-29,68249.88,70079.99,57122.77,58161.0,216238.9234
2024-08-05,58161.0,62745.14,49000.0,58712.59,370726.80645
2024-08-12,58712.59,61800.0,56078.54,58427.35,179945.24534
2024-08-19,58427.35,65000.0,57787.3,64220.0,169792.31289
2024-08-26,64219.99,64481.0,57201.0,57301.86,176518.33308
2024-09-02,57301.77,59809.65,52550.0,54869.95,196506.89846
2024-09-09,54869.95,60625.0,54591.96,59132.0,175833.33846
2024-09-16,59132.0,64133.32,57493.3,63578.76,178097.29669
2024-09-23,63578.76,66498.0,62538.75,65602.01,132963.29721
2024-09-30,65602.01,65618.8,59828.11,62819.91,169447.68762
2024-10-07,62819.91,64478.19,58946.0,62870.02,136109.36376
2024-10-14,62870.02,69400.0,62457.81,69031.99,185982.16665
2024-10-21,69032.0,69519.52,65260.0,68021.7,159069.27886
2024-10-28,68021.69,73620.12,67478.73,68775.99,209232.69647
2024-11-04,68775.99,81500.0,66835.0,80370.01,327445.15705
2024-11-11,80370.01,93265.64,80216.01,89855.99,417630.302334
2024-11-18,89855.98,99588.01,89376.9,97900.04,303784.771782
2024-11-25,97900.05,98871.8,90791.1,97185.18,237818.37314
2024-12-02,97185.17,104088.0,90500.0,101109.59,302152.735462
2024-12-09,101109.6,105250.0,94150.05,104463.99,230968.339905
2024-12-16,104463.99,108353.0,92232.54,95186.27,281544.242246
2024-12-23,95186.28,99963.7,92520.0,93738.2,140614.68725
2024-12-30,93738.19,98976.91,91530.45,98363.61,111914.7951
