timestamp,open,high,low,close,volume
2023-01-02,16617.17,17176.99,16548.7,17127.83,1112349.61417
2023-01-09,17127.83,21258.0,17104.66,20871.5,2145455.73458
2023-01-16,20872.99,23371.8,20407.15,22707.88,2108890.06922
2023-01-23,22706.02,23960.54,22300.0,23742.3,1946352.796
2023-01-30,23743.37,24255.0,22500.0,22932.91,1949971.72168
2023-02-06,22932.91,23452.0,21451.0,21783.54,1976378.51282
2023-02-13,21782.37,25250.0,21351.07,24271.76,2497565.47508
2023-02-20,24272.51,25250.0,22722.0,23554.85,2237983.72753
2023-02-27,23554.85,24000.0,21971.13,22430.24,1698503.29143
2023-03-06,22430.24,22602.19,19549.09,21997.11,2718623.72856
2023-03-13,21998.05,28390.1,21813.88,27972.87,3775888.94983
2023-03-20,27972.87,28868.05,26601.8,27968.05,1437828.84706
2023-03-27,27968.05,29184.68,26508.14,28171.87,500795.73087
2023-04-03,28171.87,28775.0,27200.24,28323.76,306532.39014
2023-04-10,28323.76,31000.0,28170.0,30304.65,377573.74044
2023-04-17,30304.66,30485.0,27125.0,27590.6,430421.84646
2023-04-24,27590.59,30036.0,26942.82,29233.21,444613.47701
2023-05-01,29233.2,29820.0,27666.95,28430.1,360117.97447
2023-05-08,28430.09,28631.01,25811.46,26917.62,338765.74243
2023-05-15,26917.61,27663.59,26361.2,26747.78,230394.72253
2023-05-22,26747.78,28261.32,25871.89,28065.0,251061.07389
2023-05-29,28065.01,28447.14,26505.0,27115.21,233113.44204
2023-06-05,27115.2,27391.77,25351.02,25925.55,347786.76863
2023-06-12,25925.54,26839.99,24800.0,26339.97,265685.74051
2023-06-19,26339.98,31431.94,26256.61,30462.66,408189.22942
2023-06-26,30462.67,31282.0,29500.0,30617.03,294881.44198
2023-07-03,30617.02,31500.0,29701.02,30160.71,244056.69119
2023-07-10,30160.71,31804.2,29900.0,30231.99,269249.39031
2023-07-17,30232.0,30417.46,29512.0,30083.75,180919.27148
2023-07-24,30083.75,30099.58,28861.9,29281.09,168154.81375
2023-07-31,29281.09,30047.5,28585.7,29088.42,190359.38216
2023-08-07,29088.43,30244.0,28701.03,29303.84,178844.98681
2023-08-14,29303.85,29695.32,25166.0,26189.99,307223.55373
2023-08-21,26190.0,26819.27,25300.0,26101.77,188618.43325
2023-08-28,26101.78,28142.85,25333.75,25971.21,258183.08813
2023-09-04,25971.21,26445.5,25372.51,25841.61,156769.66561
2023-09-11,25841.6,26888.0,24901.0,26527.51,221247.03537
2023-09-18,26527.5,27483.57,26122.08,26248.38,191220.58923
2023-09-25,26248.39,28065.51,25990.46,27992.57,189937.16919
2023-10-02,27992.58,28580.0,27160.5,27917.05,217523.39638
2023-10-09,27917.06,27987.93,26538.66,27154.15,164897.39085
2023-10-16,27154.14,30379.99,27112.66,29992.46,294677.81127
2023-10-23,29992.46,35280.0,29883.6,34525.89,373306.40874
2023-10-30,34525.88,35984.99,34025.0,35011.88,249862.2126
2023-11-06,35011.89,37972.24,34523.06,37064.13,261060.64807
2023-11-13,37064.13,37980.0,34800.0,37359.86,255993.59565
2023-11-20,37359.85,38414.0,35632.01,37447.43,229889.97507
2023-11-27,37447.42,40250.0,36707.0,39972.26,222103.26117
2023-12-04,39972.26,44700.0,39972.26,43789.51,332080.41362
2023-12-11,43789.5,43804.5,40222.0,41374.65,292562.41578
2023-12-18,41374.64,44398.26,40542.93,42991.5,245481.20612
2023-12-25,42991.5,43802.32,41300.0,42283.58,228462.70228
